f,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality,katz_centrality
0,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
1,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
2,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
3,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
4,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
5,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
6,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
7,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
8,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
9,0.00011471836641046231,0.00011471836641046231,0.00034415509923138696,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
10,0.00011471836641046231,0.00011471836641046231,0.0005735918320523115,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
11,0.00011471836641046231,0.00011471836641046231,0.0008030285648732362,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
12,0.00011471836641046231,0.00011471836641046231,0.0008030285648732362,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
13,0.00011471836641046231,0.00011471836641046231,0.0005735918320523115,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
14,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
15,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
16,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
17,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
18,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
19,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
20,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
21,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
22,0.00011471836641046231,0.0016060571297464724,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
23,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
24,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
25,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
26,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0008030285648732362
27,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
28,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
29,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231
30,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00034415509923138696
31,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00034415509923138696
32,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00034415509923138696
33,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0008030285648732362,0.00011471836641046231,0.00011471836641046231,0.00034415509923138696
34,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00034415509923138696
35,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0024090856946197086,0.00011471836641046231,0.00011471836641046231,0.00034415509923138696
36,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0024090856946197086,0.001147183664104623,0.00011471836641046231,0.00011471836641046231
37,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0024090856946197086,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
38,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
39,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
40,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
41,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
42,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
43,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
44,0.001147183664104623,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
45,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0020649305953883215
46,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.00011471836641046231,0.0009177469312836985,0.00011471836641046231,0.00011471836641046231,0.0008030285648732362
